Pslack,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,Bus 10,Bus 11,System Loss
26.377,5.5105,23.921,12.138,1.93,2.8441,7.4913,2.2855,0.88879,1.549,3.4282,3.7837,0.62602
6.7528,3.8907,16.89,8.5704,1.3627,2.0081,5.2893,1.6137,0.62754,1.0937,2.4205,2.6715,0.33455
-4.7274,2.9365,12.747,6.4684,1.0285,1.5156,3.992,1.2179,0.47363,0.82547,1.8269,2.0163,0.24338
-10.597,2.4467,10.621,5.3895,0.85691,1.2628,3.3261,1.0148,0.39463,0.68778,1.5221,1.68,0.21954
-13.542,2.2005,9.5525,4.8472,0.77069,1.1357,2.9915,0.91265,0.35492,0.61858,1.369,1.511,0.21341
-10.405,2.4628,10.691,5.4249,0.86253,1.2711,3.348,1.0214,0.39722,0.6923,1.5321,1.691,0.22008
6.4738,3.8676,16.789,8.5195,1.3546,1.9962,5.2578,1.6041,0.62381,1.0872,2.4061,2.6556,0.33164
35.7,6.2795,27.259,13.832,2.1993,3.241,8.5366,2.6044,1.0128,1.7652,3.9066,4.3117,0.76612
70.184,9.0773,39.405,19.995,3.1792,4.6851,12.34,3.7648,1.4641,2.5517,5.6472,6.2328,1.8625
95.918,11.144,48.378,24.548,3.9031,5.7519,15.15,4.6221,1.7975,3.1328,6.9331,7.6521,2.9197
110.15,12.278,53.297,27.045,4.3,6.3368,16.691,5.0921,1.9803,3.4513,7.6381,8.4303,3.6321
117,12.82,55.652,28.239,4.4899,6.6168,17.428,5.317,2.0677,3.6038,7.9756,8.8026,4.0071
121.99,13.214,57.363,29.108,4.628,6.8202,17.964,5.4805,2.1313,3.7146,8.2208,9.0733,4.2932
122.53,13.257,57.548,29.202,4.6429,6.8422,18.022,5.4982,2.1382,3.7266,8.2473,9.1026,4.3249
123.82,13.359,57.99,29.426,4.6786,6.8947,18.16,5.5404,2.1546,3.7552,8.3106,9.1724,4.4009
125.32,13.475,58.497,29.683,4.7195,6.9551,18.319,5.5889,2.1735,3.788,8.3834,9.2527,4.4893
126.88,13.599,59.032,29.955,4.7627,7.0187,18.487,5.64,2.1933,3.8227,8.4601,9.3374,4.588
127.26,13.629,59.162,30.021,4.7732,7.0341,18.527,5.6524,2.1982,3.8311,8.4787,9.3579,4.6107
123.64,13.344,57.927,29.394,4.6735,6.8873,18.141,5.5344,2.1523,3.7511,8.3016,9.1625,4.3901
130.49,13.883,60.265,30.581,4.8622,7.1653,18.873,5.7578,2.2392,3.9025,8.6368,9.5324,4.807
